hash,mode,bits,bin_bits,bin_percent,count
SHA-256,simbolis,256,119,46.484,2661
SHA-256,simbolis,256,120,46.875,3014
SHA-256,simbolis,256,121,47.266,3436
SHA-256,simbolis,256,122,47.656,3845
SHA-256,simbolis,256,123,48.047,4160
SHA-256,simbolis,256,124,48.438,4386
SHA-256,simbolis,256,125,48.828,4673
SHA-256,simbolis,256,126,49.219,4818
SHA-256,simbolis,256,127,49.609,4917
SHA-256,simbolis,256,128,50.000,4909
SHA-256,simbolis,256,129,50.391,4865
SHA-256,simbolis,256,130,50.781,4796
SHA-256,simbolis,256,131,51.172,4573
SHA-256,simbolis,256,132,51.562,4391
SHA-256,simbolis,256,133,51.953,4099
SHA-256,simbolis,256,134,52.344,3625
SHA-256,simbolis,256,135,52.734,3298
SHA-256,simbolis,256,136,53.125,2982
SHA-256,simbolis,256,137,53.516,2667
SHA-256,simbolis,256,138,53.906,2363
SHA-256,simbolis,256,139,54.297,1955
SHA-256,simbolis,256,140,54.688,1603
SHA-256,simbolis,256,141,55.078,1364
SHA-256,simbolis,256,142,55.469,1087
SHA-256,simbolis,256,143,55.859,924
SHA-256,simbolis,256,144,56.250,699
SHA-256,simbolis,256,145,56.641,557
SHA-256,simbolis,256,146,57.031,386
SHA-256,simbolis,256,147,57.422,304
SHA-256,simbolis,256,148,57.812,230
SHA-256,simbolis,256,149,58.203,156
SHA-256,simbolis,256,150,58.594,101
SHA-256,simbolis,256,151,58.984,80
SHA-256,simbolis,256,152,59.375,31
SHA-256,simbolis,256,153,59.766,28
SHA-256,simbolis,256,154,60.156,30
SHA-256,simbolis,256,155,60.547,18
SHA-256,simbolis,256,156,60.938,8
SHA-256,simbolis,256,157,61.328,6
SHA-256,simbolis,256,158,61.719,4
SHA-256,simbolis,256,159,62.109,2
SHA-256,simbolis,256,160,62.500,1
SHA-256,simbolis,256,161,62.891,1
Ratas v0.1,bitas,256,94,36.719,1
Ratas v0.1,bitas,256,96,37.500,2
Ratas v0.1,bitas,256,97,37.891,3
Ratas v0.1,bitas,256,98,38.281,2
Ratas v0.1,bitas,256,99,38.672,7
Ratas v0.1,bitas,256,100,39.062,15
Ratas v0.1,bitas,256,101,39.453,27
Ratas v0.1,bitas,256,102,39.844,18
Ratas v0.1,bitas,256,103,40.234,42
Ratas v0.1,bitas,256,104,40.625,50
Ratas v0.1,bitas,256,105,41.016,81
Ratas v0.1,bitas,256,106,41.406,113
Ratas v0.1,bitas,256,107,41.797,147
Ratas v0.1,bitas,256,108,42.188,217
Ratas v0.1,bitas,256,109,42.578,290
Ratas v0.1,bitas,256,110,42.969,393
Ratas v0.1,bitas,256,111,43.359,526
Ratas v0.1,bitas,256,112,43.750,656
Ratas v0.1,bitas,256,113,44.141,877
Ratas v0.1,bitas,256,114,44.531,1092
Ratas v0.1,bitas,256,115,44.922,1359
Ratas v0.1,bitas,256,116,45.312,1561
Ratas v0.1,bitas,256,117,45.703,1939
Ratas v0.1,bitas,256,118,46.094,2320
Ratas v0.1,bitas,256,119,46.484,2646
Ratas v0.1,bitas,256,120,46.875,2972
Ratas v0.1,bitas,256,121,47.266,3458
Ratas v0.1,bitas,256,122,47.656,3702
Ratas v0.1,bitas,256,123,48.047,3969
Ratas v0.1,bitas,256,124,48.438,4383
Ratas v0.1,bitas,256,125,48.828,4627
Ratas v0.1,bitas,256,126,49.219,4766
Ratas v0.1,bitas,256,127,49.609,4966
Ratas v0.1,bitas,256,128,50.000,4951
Ratas v0.1,bitas,256,129,50.391,4963
Ratas v0.1,bitas,256,130,50.781,4863
Ratas v0.1,bitas,256,131,51.172,4750
Ratas v0.1,bitas,256,132,51.562,4377
Ratas v0.1,bitas,256,133,51.953,4187
Ratas v0.1,bitas,256,134,52.344,3848
Ratas v0.1,bitas,256,135,52.734,3382
Ratas v0.1,bitas,256,136,53.125,3068
Ratas v0.1,bitas,256,137,53.516,2636
Ratas v0.1,bitas,256,138,53.906,2240
Ratas v0.1,bitas,256,139,54.297,1938
Ratas v0.1,bitas,256,140,54.688,1635
Ratas v0.1,bitas,256,141,55.078,1354
Ratas v0.1,bitas,256,142,55.469,1114
Ratas v0.1,bitas,256,143,55.859,876
Ratas v0.1,bitas,256,144,56.250,613
Ratas v0.1,bitas,256,145,56.641,525
Ratas v0.1,bitas,256,146,57.031,357
Ratas v0.1,bitas,256,147,57.422,320
Ratas v0.1,bitas,256,148,57.812,239
Ratas v0.1,bitas,256,149,58.203,178
Ratas v0.1,bitas,256,150,58.594,124
Ratas v0.1,bitas,256,151,58.984,72
Ratas v0.1,bitas,256,152,59.375,59
Ratas v0.1,bitas,256,153,59.766,32
Ratas v0.1,bitas,256,154,60.156,26
Ratas v0.1,bitas,256,155,60.547,21
Ratas v0.1,bitas,256,156,60.938,8
Ratas v0.1,bitas,256,157,61.328,7
Ratas v0.1,bitas,256,158,61.719,3
Ratas v0.1,bitas,256,159,62.109,1
Ratas v0.1,bitas,256,160,62.500,2
Ratas v0.1,bitas,256,161,62.891,1
Ratas v0.1,bitas,256,162,63.281,1
Ratas v0.1,bitas,256,163,63.672,1
Ratas v0.1,bitas,256,165,64.453,1
MD5,bitas,128,41,32.031,2
MD5,bitas,128,42,32.812,1
MD5,bitas,128,43,33.594,8
MD5,bitas,128,44,34.375,11
MD5,bitas,128,45,35.156,19
MD5,bitas,128,46,35.938,60
MD5,bitas,128,47,36.719,69
MD5,bitas,128,48,37.500,136
MD5,bitas,128,49,38.281,204
MD5,bitas,128,50,39.062,309
MD5,bitas,128,51,39.844,508
MD5,bitas,128,52,40.625,716
MD5,bitas,128,53,41.406,1095
MD5,bitas,128,54,42.188,1467
MD5,bitas,128,55,42.969,1971
MD5,bitas,128,56,43.750,2493
MD5,bitas,128,57,44.531,3254
MD5,bitas,128,58,45.312,4090
MD5,bitas,128,59,46.094,4696
MD5,bitas,128,60,46.875,5338
MD5,bitas,128,61,47.656,6189
MD5,bitas,128,62,48.438,6626
MD5,bitas,128,63,49.219,7107
MD5,bitas,128,64,50.000,6963
MD5,bitas,128,65,50.781,6841
MD5,bitas,128,66,51.562,6644
MD5,bitas,128,67,52.344,6349
MD5,bitas,128,68,53.125,5518
MD5,bitas,128,69,53.906,4786
MD5,bitas,128,70,54.688,4023
MD5,bitas,128,71,55.469,3255
MD5,bitas,128,72,56.250,2518
MD5,bitas,128,73,57.031,2062
MD5,bitas,128,74,57.812,1472
MD5,bitas,128,75,58.594,1062
MD5,bitas,128,76,59.375,792
MD5,bitas,128,77,60.156,504
MD5,bitas,128,78,60.938,325
MD5,bitas,128,79,61.719,217
MD5,bitas,128,80,62.500,135
MD5,bitas,128,81,63.281,68
MD5,bitas,128,82,64.062,49
MD5,bitas,128,83,64.844,23
MD5,bitas,128,84,65.625,16
MD5,bitas,128,85,66.406,6
MD5,bitas,128,87,67.969,2
MD5,bitas,128,89,69.531,1
SHA-1,bitas,160,53,33.125,1
SHA-1,bitas,160,54,33.750,4
SHA-1,bitas,160,55,34.375,2
SHA-1,bitas,160,56,35.000,7
SHA-1,bitas,160,57,35.625,4
SHA-1,bitas,160,58,36.250,9
SHA-1,bitas,160,59,36.875,30
SHA-1,bitas,160,60,37.500,39
SHA-1,bitas,160,61,38.125,79
SHA-1,bitas,160,62,38.750,123
SHA-1,bitas,160,63,39.375,147
SHA-1,bitas,160,64,40.000,253
SHA-1,bitas,160,65,40.625,401
SHA-1,bitas,160,66,41.250,518
SHA-1,bitas,160,67,41.875,775
SHA-1,bitas,160,68,42.500,1044
SHA-1,bitas,160,69,43.125,1381
SHA-1,bitas,160,70,43.750,1743
SHA-1,bitas,160,71,44.375,2401
SHA-1,bitas,160,72,45.000,2813
SHA-1,bitas,160,73,45.625,3339
SHA-1,bitas,160,74,46.250,3968
SHA-1,bitas,160,75,46.875,4668
SHA-1,bitas,160,76,47.500,5171
SHA-1,bitas,160,77,48.125,5663
SHA-1,bitas,160,78,48.750,5892
SHA-1,bitas,160,79,49.375,6127
SHA-1,bitas,160,80,50.000,6292
SHA-1,bitas,160,81,50.625,6245
SHA-1,bitas,160,82,51.250,6027
SHA-1,bitas,160,83,51.875,5634
SHA-1,bitas,160,84,52.500,5207
SHA-1,bitas,160,85,53.125,4676
SHA-1,bitas,160,86,53.750,4008
SHA-1,bitas,160,87,54.375,3428
SHA-1,bitas,160,88,55.000,2878
SHA-1,bitas,160,89,55.625,2297
SHA-1,bitas,160,90,56.250,1777
